,Project,Group,Connections,Image,Twitter URL,Twitter Handle,Description,Webpage,V0 - Impact Cartography,V1 - ImpactDAOs Survey
0,0xdaoApe,#FFCC00,12,https://pbs.twimg.com/profile_images/1475869715058900994/7aKGFe00_normal.jpg,https://twitter.com/0xdaoape,@0xdaoape,Highly subjective commentary on what's going on around the DAOsphere. EN/TR,mirror.xyz/0x4529921387f7…,False,True
1,1Hive,#FFCC00,18,https://pbs.twimg.com/profile_images/1276286557494837248/SgXEhvrc_normal.png,https://twitter.com/1hiveorg,@1hiveorg,A community of web3 builders,1hive.org,False,True
2,1Hive Gardens,#FFCC00,13,https://pbs.twimg.com/profile_images/1479201973362577408/QreY0Mgx_normal.png,https://twitter.com/gardensdao,@gardensdao,"Gardens are composable, sufficiently decentralized, and self-improving DAOs, limited only by your collective imagination - from the @1hiveorg ecosystem 🐝",gardensdao.eth.limo,False,True
3,AYOWECCA,#02E2AC,9,https://pbs.twimg.com/profile_images/1256915740197863425/YXN0dsRN_normal.jpg,https://twitter.com/ayowecca_uganda,@ayowecca_uganda,"Protecting Natural Resources, Adaptation to #ClimateChange, Conservations, SRHR, Skills Development & Empowering Women & Children. Author @j_olwenyi #SDGs",ayoweccauganda.org,False,True
4,AcreDAOS,#02E2AC,32,https://pbs.twimg.com/profile_images/1461360204755308552/pM4Wpc8G_normal.jpg,https://twitter.com/acredaos,@acredaos,"Autonomous Communities for Regenerative Economies (ACRE)
Web3 Community of ReFi & Impact DAOs
🌎 A new model for environmental and social impact",acredaos.com,True,False
5,Aera Force,#02E2AC,27,https://pbs.twimg.com/profile_images/1509925596364685320/i8Ens9Wd_normal.jpg,https://twitter.com/aeraforce,@aeraforce,"Aera Force is a VC DAO investing in our collective #ReFi future 💚🌎 
Subscribe to our weekly ReFi deep-dive to explore with us 👉 https://t.co/E1N84pFZJ4",AeraForce.xyz,False,True
6,All for Climate DAO,#02E2AC,56,https://pbs.twimg.com/profile_images/1461336359734554627/Zd05zz8c_normal.jpg,https://twitter.com/all4climatedao,@all4climatedao,"Building a 21st century movement of citizens taking action in the social and ecological crisis. Connected globally, rooted locally, we are #allforclimate.",dao.allforclimate.earth,True,True
7,Angel Protocol,#4D82C1,9,https://pbs.twimg.com/profile_images/1385343617225560068/Z0nRwp37_normal.jpg,https://twitter.com/angelprotocol,@angelprotocol,"Terra-based protocol for creating perpetual charity endowments. The Gift that keeps on giving, forever.",angelprotocol.io,True,False
8,AntidoteDAO,#4D82C1,49,https://pbs.twimg.com/profile_images/1508297064630956040/rc4hlH4Y_normal.png,https://twitter.com/antidotedao,@antidotedao,"AntidoteDAO is an Altruistic #Web3 #DAO Dedicated to Funding Various Cancer Initiatives Directly, Democratically, and Transparently",hoo.be/antidotedao,False,True
9,Ants-review,#F3587D,17,https://pbs.twimg.com/profile_images/1266760531412692992/amsBtaCr_normal.jpg,https://twitter.com/antsreview,@antsreview,#DeSci ~ Incentivizing Scientific Peer-Reviews on #Ethereum est. 2020🚀 #OpenScience |🥇@ETHTurin 🌱@KERNEL0x KB1 |🗣️@euro_par 2020 | 💰@gitcoin Grants,linktr.ee/antsreview,True,False
10,Aquari,#02E2AC,3,https://pbs.twimg.com/profile_images/1390675212581097473/Zjzkwdqm_normal.jpg,https://twitter.com/aquariofficial,@aquariofficial,Aquari is a community governed cryptocurrency with the goal to restore all polluted bodies of water on Earth. Telegram: https://t.co/B2zgha61bW,aquarifoundation.com,True,False
11,Artizen,#FFCC00,13,https://pbs.twimg.com/profile_images/1354930931719491585/3e-XZrvq_normal.jpg,https://twitter.com/artizenfund,@artizenfund,"We're raising $1B for art, science, and public goods. Donate to earn NFTs from the brightest creators in your community and become an owner of the Artizen DAO.",artizen.fund,False,True
12,Astral Protocol,#FFCC00,23,https://pbs.twimg.com/profile_images/1301144670177820672/qX3mlQtp_normal.jpg,https://twitter.com/astralprotocol,@astralprotocol,Public goods for spatial and location data on the decentralized web.,astral.global,False,True
13,Atoms,#F3587D,5,https://pbs.twimg.com/profile_images/1408969527333847042/4-ZuTQNE_normal.jpg,https://twitter.com/atoms_org,@atoms_org,Building a flourishing research ecosystem.,atoms.org,False,True
14,Avano,#02E2AC,42,https://pbs.twimg.com/profile_images/1494445096053325842/zxT6DGVz_normal.jpg,https://twitter.com/avano_io,@avano_io,LinkTree: https://t.co/D3dGebq8uA,,False,True
15,Basin DAO,#02E2AC,40,https://pbs.twimg.com/profile_images/1463399377402314760/DNY9cgtS_normal.jpg,https://twitter.com/basindao,@basindao,unlocking #carbon + #naturalcapital value in #realassets using #web3,basinDAO.com,True,False
16,BioDAO,#F3587D,6,https://pbs.twimg.com/profile_images/1485042580177907714/n0Inv55w_normal.jpg,https://twitter.com/biodaoxyz,@biodaoxyz,"The global biotech ecosystem enabled by Web3
Notion: https://t.co/yjYfmg3dnf
https://t.co/NskNkhRbtg",biodao.xyz,False,True
17,Blockchain for Climate foundation,#02E2AC,34,https://pbs.twimg.com/profile_images/1455859963889213445/x8wXr7Oh_normal.jpg,https://twitter.com/blockforclimate,@blockforclimate,Putting the Paris Agreement on #Ethereum w/ #NFTs. Enabling international collaboration on climate action by connecting national carbon accounts of the world.,blockchainforclimate.org/news,True,False
18,Blood M1n3,#02E2AC,41,https://pbs.twimg.com/profile_images/1491776089915637764/-30DXuWW_normal.jpg,https://twitter.com/bloodm1n3,@bloodm1n3,"🛰️ Mapping the world's illegal mines on Web3

@sosorinoco

#ARACAMUNI is our first #NFTCollection. #CANAIMA

 🛰️  Discord: https://t.co/N9NuhTKX9b",bloodmines.xyz,False,True
19,Bloom Network,#FFCC00,32,https://pbs.twimg.com/profile_images/1235620460685144064/1JdpOTwL_normal.jpg,https://twitter.com/ourbloomnetwork,@ourbloomnetwork,"International community of regenerative culture makers, producing local events and actions, and collaborating virtually.",bloomnetwork.org,False,True
20,Bloomeria,#02E2AC,35,https://pbs.twimg.com/profile_images/1355088367013212161/aLWrVK0j_normal.jpg,https://twitter.com/bloomeria_dao,@bloomeria_dao,"A #DAO to help #communities safeguard green areas.
#Cryptocurrency | #Fundraising | #NFTs | #CO2offseteconomy 
@KERNEL0x alumni",bloomeria.org,True,False
21,Brokoli,#02E2AC,2,https://pbs.twimg.com/profile_images/1430617946167066626/PR2b57fF_normal.jpg,https://twitter.com/brokolinetwork,@brokolinetwork,"Built ⤵️

🟢 Green trading 🟢 Green IDOs 🟢 Green Integrations 🟢 Green NFTs 🟢 

Green Metaverse 🔜

Powered by $BRKL

TG: https://t.co/CTqvjHIqec

#impact2earn",brokoli.network,True,False
22,Cabin,#4D82C1,19,https://pbs.twimg.com/profile_images/1458804832551247877/z8CMVDb8_normal.jpg,https://twitter.com/creatorcabins,@creatorcabins,🏡 a community of cabins for web3 workers 🌐 a DAO retreat & residency program 🌆 an experiment in decentralized cities || https://t.co/OQklH4Gp7m,linktr.ee/creatorcabins,False,True
23,Carbon Captors ,#02E2AC,41,https://pbs.twimg.com/profile_images/1496818455219216390/UwZ0CVsQ_normal.jpg,https://twitter.com/carboncaptors,@carboncaptors,Leveraging the power of Web3 and DAOs to become the fund for Carbon Capture engineered & nature based solutions. #CarbonCaptors,carboncaptors.xyz,False,True
24,Carbon Collectible NFTs,#02E2AC,27,https://pbs.twimg.com/profile_images/1518382217432485888/-VpdsiGt_normal.jpg,https://twitter.com/carbonoffsetnft,@carbonoffsetnft,"We use #NFTs & regenerative finance to transform environment and social impact into a liquid asset.
#Web3, #ReFi, #DeFi, #SocialImpact, #CarbonOffset, #ML, #AI",ccNFTs.io,True,False
25,Celo,#FFCC00,40,https://pbs.twimg.com/profile_images/1493309659599486986/5ETdHxeE_normal.jpg,https://twitter.com/celoorg,@celoorg,Creating the conditions for prosperity—for everyone.,celo.org,True,False
26,Cheerbot,#FFCC00,2,https://pbs.twimg.com/profile_images/1515123788438032386/U86eYjob_normal.png,https://twitter.com/cheerbotme,@cheerbotme,"Sending cheer via phygital-within-phygital NFT designer toy robots!
The best of #Web3 income & #STEAM education as one.
buy https://t.co/Qbuy24nC8P
map https://t.co/RLfGcUslhh",cheerbot.org,False,True
27,Cherubs DAO,#4D82C1,11,https://pbs.twimg.com/profile_images/1461111085067603971/A1LX50MT_normal.jpg,https://twitter.com/cherubsdao,@cherubsdao,"An NFT funded, DAO governed community of extraordinary people changing the world, focused on brain health & longevity

Founded by Brian Magierski - @bmagierski",linktr.ee/cherubsdao,True,True
28,Circonomy,#FFCC00,5,https://pbs.twimg.com/profile_images/1500542961410580496/DicM6XPM_normal.png,https://twitter.com/circonomydao,@circonomydao,We are a Web3 cooperative centered on circular economics and circular design tackling the climate change challenge by starting with the plastic problem,,False,True
29,Citizen DAO,#4D82C1,56,https://pbs.twimg.com/profile_images/1466272943688888321/e8j2P6L4_normal.jpg,https://twitter.com/citizendao,@citizendao,"Like the United Nations, but better. On a mission to solve humanity's biggest problems. Creating Web3 Impact Bonds to fund it. 

Join us: https://t.co/IBvG1ciUsr",CitizenDAO.io,True,False
30,Climate Finance DAO,#02E2AC,30,https://pbs.twimg.com/profile_images/1464765590652997636/z7b63Skp_normal.jpg,https://twitter.com/climatefindao,@climatefindao,We are a work in progress DAO that aim to support and develop climate science informed & decentralised finance instruments,gitcoin.co/grants/4041/cl…,True,False
31,ClimateDAO ,#02E2AC,64,https://pbs.twimg.com/profile_images/1499761953882923009/ZfgXLTBO_normal.png,https://twitter.com/climate_dao,@climate_dao,Building a platform to decarbonize corporations through shareholder activism. https://t.co/fRF6ffkBrA,linktr.ee/climatedao,True,True
32,Clime DAO,#02E2AC,18,https://pbs.twimg.com/profile_images/1511646045742432258/kwWwkOce_normal.jpg,https://twitter.com/climedao,@climedao,"Enabled via web3, we are here to incentivize your climate-positive actions. Head to our website and be a part of our mission🌍 (Join the Clime Movement!)",climedao.com,False,True
33,Code4rena,#FFCC00,4,https://pbs.twimg.com/profile_images/1461661937746407424/9RXtCZ5v_normal.png,https://twitter.com/code4rena,@code4rena,"A DAO for on demand web3 security. 

💰 $4MM in rewards paid 
🐺 400+ High Severity 🐞's patched
⛓ Start your audit this week: https://t.co/tD4F3j9SPO",code4rena.com,False,True
34,Cohere,#4D82C1,14,https://pbs.twimg.com/profile_images/1358113018681446400/IPcrmbdD_normal.jpg,https://twitter.com/coherenetwork,@coherenetwork,Cohere is a community-owned global network of regenerative communities and innovation hubs powered by web3 🌱 Let’s Co: https://t.co/hjtbufhZqu,lu.ma/cohere,False,True
35,Converge,#FFCC00,2,https://pbs.twimg.com/profile_images/1438991514206556164/Okjj6J9L_normal.jpg,https://twitter.com/converge4impact,@converge4impact,"Advancing the network approach to collaboration. Read #ImpactNetworks, our guide for cultivating community and co-creating change: https://t.co/McB6hYG9NC",converge.net,True,False
36,Cool Points Club,#02E2AC,7,https://pbs.twimg.com/profile_images/1439790931859804165/HFfHi-ix_normal.jpg,https://twitter.com/coolpointsclub,@coolpointsclub,We do cool | @islands_of_cool | https://t.co/B0VDNZSICR,,True,False
37,Cosmos,#FFCC00,14,https://pbs.twimg.com/profile_images/1328431690268729347/flijoJYv_normal.jpg,https://twitter.com/cosmos,@cosmos,"The open, scalable, and interconnected economy of the future. $ATOM",cosmos.network,True,False
38,Crowdmuse,#FFCC00,3,https://pbs.twimg.com/profile_images/1499475706996273156/ymt0Jq2X_normal.jpg,https://twitter.com/crowdmuse,@crowdmuse,"🕸 autonomous collaboration for regen projects. 🌱 we pilot forkable business models with built-in licensing, supply chains & knowledge networks.",crowdmuse.com,False,True
39,Crypto Culture and Society,#FFCC00,8,https://pbs.twimg.com/profile_images/1502365946614276100/xPQrAcRT_normal.jpg,https://twitter.com/cryptosocietys1,@cryptosocietys1,Building liberal arts education for crypto. 📍Semester II: Our Digital Futures,ccsdao.xyz,True,False
40,Curve Labs,#FFCC00,33,https://pbs.twimg.com/profile_images/1506287116376027140/_aje108X_normal.jpg,https://twitter.com/curvelabs,@curvelabs,design & implementation laboratory for organizational technologies \\\ we’re hiring https://t.co/8LBV8IDtSJ,curvelabs.eu,True,False
41,DAOpunks,#FFCC00,2,https://pbs.twimg.com/profile_images/1445550891466047493/4RSf3ecC_normal.jpg,https://twitter.com/daopunksnft,@daopunksnft,"Liberating humans from the soul-sucking drudgery of default world work

Join the movement:
https://t.co/8r8IRW6ZMn
https://t.co/duOs9v0TYp",daopunks.io,False,True
42,DOER Money DAO,#02E2AC,2,https://pbs.twimg.com/profile_images/1496463760474660872/JmqKQYSg_normal.jpg,https://twitter.com/doerdotmoney,@doerdotmoney,$DOER MONEY DAO | Permissionless Income for the Regenerative Economy Workforce | We are a subDAO of @ACREDAOs,juicebox.money/#/p/doer,False,True
43,DeveloperDAO,#FFCC00,31,https://pbs.twimg.com/profile_images/1498373755583799301/dr7zfeyt_normal.jpg,https://twitter.com/developer_dao,@developer_dao,"Build web3 with friends 🤝

New membership officially open ⚡️

@web3con 🌈

https://t.co/k407RuowQl

https://t.co/ZKZintUdTV",developerdao.notion.site/Getting-Starte…,False,True
44,Diatom DAO,#02E2AC,16,https://pbs.twimg.com/profile_images/1453440139301171205/oZZfX0z5_normal.jpg,https://twitter.com/diatomdao,@diatomdao,"Ocean protection, decentralized. Starting with the first-ever tokenization of ocean plastics removal.",diatom.fund,True,False
45,DoinGud,#FFCC00,31,https://pbs.twimg.com/profile_images/1532179713145286656/TyPJIFYf_normal.jpg,https://twitter.com/doingudhq,@doingudhq,"DoinGud is an NFT ecosystem empowering creators, collectors, curators, and communities to do good 👨‍🎤 We are hiring! 🚨",linktr.ee/doingud,True,False
46,Dream DAO,#4D82C1,27,https://pbs.twimg.com/profile_images/1450845956035993604/3WlyJf0K_normal.jpg,https://twitter.com/dreamdao_,@dreamdao_,"powered by @CivicsUnplugged, we train + fund regen-minded Gen Z leaders around the world to explore web3 + harness its power to build a #solarpunk future 🌞🌍",dreamdao.xyz,True,True
47,ETH Puerto Rico DAO,#FFCC00,7,https://pbs.twimg.com/profile_images/1375109755824447489/O15M9cdV_normal.png,https://twitter.com/ethprdao,@ethprdao,Siembra una comunidad de práctica en #PuertoRico a través del ecosistema #Ethereum global. #consensysambassador,meetup.com/ethpuertorico/,False,True
48,Earth.fm,#02E2AC,17,https://pbs.twimg.com/profile_images/1500267034193584129/i6CYVG7e_normal.jpg,https://twitter.com/earth_fm_live,@earth_fm_live,Listen to immersive natural soundscapes ✨  and support the grassroots charities that work for the restoration of our natural world 🌳,earth.fm,False,True
49,EarthFund,#02E2AC,50,https://pbs.twimg.com/profile_images/1479192567103250446/CKL2GFAr_normal.jpg,https://twitter.com/earthfund_io,@earthfund_io,"🌍 Join the DAO. Change the world.

Decentralizing crowdfunding to give you a real voice in your future. 

Join us 👇
https://t.co/e4Bnv3oZ1k",earthfund.io,True,False
50,Earthbanc,#02E2AC,27,https://pbs.twimg.com/profile_images/1267436792858509313/Wj5fOLGk_normal.jpg,https://twitter.com/earthbanc,@earthbanc,Merging digital MRV and carbon finance to regenerate the earth and scale up carbon removal #ReFi #ClimateFintech #CarbonCredits #DeFi #biodiversity🌱🌏 #hiring,earthbanc.io,True,False
51,Earthcoin,#02E2AC,13,https://pbs.twimg.com/profile_images/1502968717277540355/tcLNuAGW_normal.jpg,https://twitter.com/solarpunkdao,@solarpunkdao,"Now LIVE - $Earth - Antidote for the ecological crisis. Seed currency for the #solarpunk paradigm backed by climate solutions. 

 https://t.co/sbE6I3pxgn",solarpunkdao.earth,True,False
52,Ecodao,#02E2AC,28,https://pbs.twimg.com/profile_images/1489782876073775104/Zd7mt8QM_normal.jpg,https://twitter.com/ecodao_,@ecodao_,mostly human artists supporting the environment one nft at a time,eco.mirror.xyz,True,False
53,Ecorise,#02E2AC,30,https://pbs.twimg.com/profile_images/1467220224143331330/uKgUEXym_normal.jpg,https://twitter.com/ecorisedao,@ecorisedao,"A DAO for Solarpunks and Real World Assets. https://t.co/CoaQyGZcxo (🌍,🌎) Ecorise Finance",linktr.ee/EcoriseDAO,True,False
54,Edible Burners,#FFCC00,7,https://pbs.twimg.com/profile_images/1487932556687425537/s4NhFLIa_normal.jpg,https://twitter.com/amboscoboinik,@amboscoboinik,Love Freedom,,False,True
55,Endaoment,#4D82C1,26,https://pbs.twimg.com/profile_images/1506341255952838658/o_KMyZrv_normal.png,https://twitter.com/endaomentdotorg,@endaomentdotorg,"Crypto Philanthropy ✦ First On-Chain 501(c)(3) Community Foundation 

Every nonprofit now accepts any cryptocurrency →  https://t.co/4O4A5Eb5pl",endaoment.org,True,True
56,EthicHub,#FFCC00,16,https://pbs.twimg.com/profile_images/1409739327735799808/3PgWB9jI_normal.jpg,https://twitter.com/ethichub,@ethichub,"The First #DeFi protocol connecting unbanked smallholder farmers with yield farmers and lenders globally.
$ETHIX - a confidence backed currency (👩‍🌾,🧑‍🌾)",linktr.ee/ethichub_,False,True
57,ForeFront,#F3587D,15,https://pbs.twimg.com/profile_images/1293402536427139072/N2kir6jx_normal.jpg,https://twitter.com/forefront__,@forefront__,The Pulse of Web3 Social ◎ $FF → https://t.co/k162YCDCUF,linktr.ee/ffdao,True,False
58,Foresight Institute DAO,#F3587D,14,https://pbs.twimg.com/profile_images/1516264107468414976/ce0QvEJu_normal.jpg,https://twitter.com/foresightinst,@foresightinst,"Advancing science and technology for long-term, flourishing futures by creating community, promoting beneficial uses, and reducing potential misuse and harm.",foresight.org,False,True
59,Future Foundation,#4D82C1,22,https://pbs.twimg.com/profile_images/1454550351365869571/uYcZtxPj_normal.jpg,https://twitter.com/ourfuturefdn,@ourfuturefdn,Building towards a more just and joyful future. Join and help us build the future of web3 x social impact,futurefoundation.xyz,True,False
60,Gain Forest,#02E2AC,5,https://pbs.twimg.com/profile_images/1284054028234772480/4CFuaH4Z_normal.png,https://twitter.com/gainforestnow,@gainforestnow,GainForest™ is a decentralised fund using artificial intelligence to measure and reward sustainable nature stewardship. https://t.co/2RuRVLeQ6q,gainforest.net,True,False
61,Geo Web,#FFCC00,19,https://pbs.twimg.com/profile_images/1370182208053460997/Cb3OyrL3_normal.jpg,https://twitter.com/thegeoweb,@thegeoweb,Public good #AR layer of the #metaverse. Our #NFT digital land is administered w/ partial common ownership. Network funds are used to fund public good(s).,linktr.ee/geoweb,False,True
62,Gitcoin,#FFCC00,43,https://pbs.twimg.com/profile_images/1461730414146564100/BtBfgjFa_normal.jpg,https://twitter.com/gitcoindao,@gitcoindao,Solarpunk Futurism~ GR14 6/8 - 6/23,gitcoindao.com,True,False
63,Give Crypto,#F3587D,3,https://pbs.twimg.com/profile_images/1012076844659757057/h_V_oaoG_normal.jpg,https://twitter.com/givecrypto,@givecrypto,Donate crypto to people in need.,GiveCrypto.org,True,False
64,Give Safely,#4D82C1,5,https://pbs.twimg.com/profile_images/1456617919882858497/X05a_MDX_normal.png,https://twitter.com/givesafely,@givesafely,Give safely to a trusted charity. Protect your data. Get rewards. Join our discord to discuss charities +crypto + web3 + NFTs: https://t.co/BYovSZFF2z,givesafely.io,True,False
65,Giveth,#FFCC00,48,https://pbs.twimg.com/profile_images/1440344140609294348/5dWIUeGd_normal.jpg,https://twitter.com/givethio,@givethio,"Transforming the way we fund public goods | Zero Added Fees | Donor Rewards | Regenerative Economics | Decentralizing Charity | DAO

@karmaticacid tweets",giveth.io,True,True
66,Giving Block,#4D82C1,19,https://pbs.twimg.com/profile_images/1519765300094418949/6yfhVEAZ_normal.png,https://twitter.com/thegivingblock,@thegivingblock,"Want to change the world with crypto? With over 1500 nonprofits accepting crypto donations, we can help. #CaringWithCrypto #CryptoIsGood🚀♥️",linktr.ee/TheGivingBlock,True,False
67,Global Unity,#4D82C1,2,https://pbs.twimg.com/profile_images/1258598799104147458/MHRV9sdf_normal.jpg,https://twitter.com/globalunityorg,@globalunityorg,Everyone for everyone.,,False,True
68,Grassroots Economics,#FFCC00,13,https://pbs.twimg.com/profile_images/1522094260916559874/z6pGAL9-_normal.jpg,https://twitter.com/grassecon,@grassecon,Empowerment through Community Inclusion Currencies,grassrootseconomics.org,False,True
69,GreenClimateDAO,#02E2AC,2,https://pbs.twimg.com/profile_images/1508832032322895878/hRtw4eTD_normal.jpg,https://twitter.com/greenclimatedao,@greenclimatedao,Harnesses the power of the crowd to fight #ClimateChange through #blockchain and @Climatecoin Climate balance: once and for all. Join the #community now!,climatecoin.com,True,False
70,Grow Your Own Cloud,#FFCC00,6,https://pbs.twimg.com/profile_images/1049744592596172800/Sjcjq22N_normal.jpg,https://twitter.com/_gyoc,@_gyoc,"Storing your Data Nature's way 🌿⁣ ⁣
⁣In #DNA 🧬
Bridging Web3 and Web🌳
🌍

Founded by @cyrusclarke and @seyfriedmonika",growyourown.cloud,False,True
71,GrüenDAO,#02E2AC,14,https://pbs.twimg.com/profile_images/1495693727687671811/e3Zf630d_normal.jpg,https://twitter.com/gruendao,@gruendao,"Forming a #Decentralized Carbon Currency Reserve System 

Create more effective #climateaction

#NodeArmy #Refi #Defi #Web3 #blockchain #whitelist #ohm",linktr.ee/grundao,False,True
72,HumanDAO,#02E2AC,6,https://pbs.twimg.com/profile_images/1486566824414257153/DXadf9Sv_normal.jpg,https://twitter.com/humandao,@humandao,"Improving lives through crypto with education & opportunities in web3/metaverse. When you hodl, stake or use $HDAO you’re helping underserved communities🤝",humandao.org,True,False
73,Impact,#4D82C1,14,https://pbs.twimg.com/profile_images/1454936406501982214/io-yy6DB_normal.jpg,https://twitter.com/impact_xyz,@impact_xyz,"MINTING NOW in support of @keepabreast. NFT fundraising platform for charity - 95% of funds  to the cause.

Discord: https://t.co/ltgRrpWU7c",impactapp.xyz,True,False
